Host,Formula,Crystal Category,Dopant Material,Concentration,Dopant Site,Temperature (K) ,Seebeck Coefficient (µV/K),Resistivity(Ω*m),Electrical Conductivity (S/m),Crystal Structure,Microstructure,Experimental Preparation Notes,Paper (hyperlink),,,,,,
Ni2MnGa,Ni2MnGa0.80Al0.20,,Al,0.2,Ga,398.1477,-7.31,187.4895,,Poly,,"Arc melting, annealed at 1073 K for two days, furnace cooling",Thermal and transport properties of Ni2MnGa1xAlx alloys,,,,,,
CeAl2,CeAl2,,,,,2.6338,-8.00,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,4.3648,-12.34,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,6.3335,-15.51,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,12.6236,-19.29,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,20.5611,-14.30,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,27.1038,-7.47,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,35.8170,-1.31,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,50.7143,5.01,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,67.8462,8.27,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,93.3297,11.14,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,128.2872,11.88,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,164.6065,12.01,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,193.6685,11.88,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,231.3391,11.79,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,259.0528,11.76,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,CeAl2,,,,,297.5246,11.89,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,Ce0.95U0.05Al2,,U,0.05,,1.1301,-2.11,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,Ce0.95U0.05Al2,,U,0.05,,3.4037,-6.61,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,Ce0.95U0.05Al2,,U,0.05,,11.8837,-11.79,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,Ce0.95U0.05Al2,,U,0.05,,23.5985,-7.19,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,Ce0.95U0.05Al2,,U,0.05,,31.5299,-1.97,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
CeAl2,Ce0.95U0.05Al2,,U,0.05,,41.1057,2.13,,,,,"arc furnace, Ce rich samples annealed at 800C for two days and at 873 C for five days. U rich samples kept at 850C for five days",Thermopower studies of doped CeAl2 and UAl2,,,,,,
