Composition,Temperature,Seebeck Coefficient,Electrical Resistivity
Fe2VAl0.9Si0.1,350.0,-124.65242166760001,5.3932145542088296e-06
Fe2VAl0.9Si0.1,400.0,-110.9956588007,5.415389015679088e-06
Fe2VAl0.9Si0.1,450.0,-91.46727569457266,5.311663015982783e-06
Fe2VAl0.9Si0.1,500.0,-73.13024663028068,5.105976123617765e-06
Fe2VAl0.9Si0.1,550.0,-58.59907110940731,4.844787346619383e-06
Fe2VAl0.9Si0.1,600.0,-47.68766669236173,4.5805220710843295e-06
Fe2VAl0.9Si0.1,650.0,-39.0572618368056,4.355018999694557e-06
Fe2VAl0.9Si0.1,700.0,-31.864288736006397,4.182977090241192e-06
Fe2VAl0.9Si0.1,350.0,-123.09301925509999,1.0815531500008865e-05
Fe2VAl0.9Si0.1,400.0,-110.2050943554,1.0994675874102004e-05
Fe2VAl0.9Si0.1,450.0,-97.9039731792378,1.0616391882293292e-05
Fe2VAl0.9Si0.1,500.0,-83.55608351619748,1.0127283501298627e-05
Fe2VAl0.9Si0.1,550.0,-67.91055008742464,9.699846621110108e-06
Fe2VAl0.9Si0.1,600.0,-53.39069975825346,9.336030027191054e-06
Fe2VAl0.9Si0.1,650.0,-42.385566751200486,8.970796382668026e-06
Fe2VAl0.9Si0.1,700.0,-35.54139785888759,8.575683210525919e-06
Fe2VAl0.9Si0.1,350.0,-116.8648700018,3.0994202160249866e-06
Fe2VAl0.9Si0.1,400.0,-112.09158288729999,3.4110954510466825e-06
Fe2VAl0.9Si0.1,450.0,-101.5416039125,3.718447372637288e-06
Fe2VAl0.9Si0.1,500.0,-87.02092083517823,3.882653599983002e-06
Fe2VAl0.9Si0.1,550.0,-71.36363679114875,3.896889896395076e-06
Fe2VAl0.9Si0.1,600.0,-57.43691588347774,3.826453011871627e-06
Fe2VAl0.9Si0.1,650.0,-47.14592877070998,3.7488835256589985e-06
Fe2VAl0.9Si0.1,700.0,-40.43879825552907,3.69408868881364e-06
Fe2(Ti0.7Cr0.3)Al,300.0,40.84047912956274,2.0321566618036573e-06
Fe2(Ti0.7Cr0.3)Al,350.0,45.16927496710189,2.2703658689162895e-06
Fe2(Ti0.7Cr0.3)Al,400.0,48.76438487809811,2.4822764513826676e-06
Fe2(Ti0.7Cr0.3)Al,450.0,51.157244245945975,2.653429439071573e-06
Fe2(Ti0.7Cr0.3)Al,500.0,51.716277549406676,2.8256639637305953e-06
Fe2(Ti0.6Cr0.4)Al,300.0,49.19837200074973,2.273757979219548e-06
Fe2(Ti0.6Cr0.4)Al,350.0,52.158485176306094,2.516032657942256e-06
Fe2(Ti0.6Cr0.4)Al,400.0,52.534963436182096,2.633855224327703e-06
Fe2(Ti0.6Cr0.4)Al,450.0,51.81961920909701,2.974993180209721e-06
Fe2(Ti0.5Cr0.5)Al,300.0,48.15040518557504,7.381517498897551e-06
Fe2(Ti0.5Cr0.5)Al,350.0,47.96267426103408,7.601268601126784e-06
Fe2(Ti0.5Cr0.5)Al,400.0,45.47776258924884,7.68719685917559e-06
Fe2(Ti0.5Cr0.5)Al,450.0,41.48488002698428,7.682641618589285e-06
(Fe0.3Co0.7)2TiAl,300.0,-33.86950955758196,2.5132064633240792e-06
(Fe0.3Co0.7)2TiAl,350.0,-37.40752300307709,2.685173655917329e-06
(Fe0.3Co0.7)2TiAl,400.0,-41.72496922664256,2.672384114234673e-06
(Fe0.3Co0.7)2TiAl,450.0,-45.595363460490276,3.078787105137903e-06
(Fe0.2Co0.8)2TiAl,300.0,-34.15088371653283,1.9146507783876087e-06
(Fe0.2Co0.8)2TiAl,350.0,-38.09807716600652,2.1237160883788944e-06
(Fe0.2Co0.8)2TiAl,400.0,-42.45680972865496,2.3128451251340737e-06
(Fe0.2Co0.8)2TiAl,450.0,-45.980265954153815,2.2843479939092088e-06
LaPd2Ge,50.0,-1.327288994084091,4.477912734326716e-07
LaPd2Ge,100.0,-1.0712998194385221,9.232897501927944e-07
LaPd2Ge,150.0,-0.08997100335521917,1.3658788363570392e-06
LaPd2Ge,200.0,1.5770953244305137,1.7546111539518853e-06
LaPd2Ge,250.0,3.755556089211251,2.111992393672739e-06
Fe2VAl,100.0,-8.602681731740578,2.823400130477549e-05
Fe2VAl,150.0,-16.662905180648885,2.493655959139955e-05
Fe2VAl,200.0,-23.431736411272784,2.10209345413405e-05
Fe2VAl,250.0,-27.43992938784883,1.5809767808848176e-05
Fe2VAl,300.0,-28.278400862955248,1.1096683556336226e-05
Fe2VAl,350.0,-26.333057121875125,8.531033061238294e-06
Fe2VAl,400.0,-22.51962072695924,7.002639322865493e-06
Fe2VAl0.99Sb0.01,150.0,-60.82942332257692,1.7870409262221626e-05
Fe2VAl0.99Sb0.01,200.0,-72.31489554845633,1.4913421562932316e-05
Fe2VAl0.99Sb0.01,250.0,-75.52078530893499,1.2225099264618947e-05
Fe2VAl0.99Sb0.01,300.0,-71.10227160642292,9.9339588187969e-06
Fe2VAl0.99Sb0.01,350.0,-60.95727592087053,8.091210285213726e-06
Fe2VAl0.99Sb0.01,400.0,-47.71914461351371,6.687535357134043e-06
Fe2VAl0.99Sb0.01,450.0,-34.24933133062014,5.669865386624359e-06
Fe2VAl0.99Sb0.01,500.0,-23.130079407234057,4.958159409837854e-06
Fe2VAl0.99Sb0.01,550.0,-16.157104270922552,4.46218217229937e-06
Fe2VAl0.99Sb0.01,600.0,-13.832275845521018,4.098282154190061e-06
Fe2VAl0.99Sb0.01,650.0,-14.856300954878305,3.8061695956324295e-06
Fe2VAl0.99Sb0.01,700.0,-15.621405726602443,3.5656945219750234e-06
Fe2VAl0.98Sb0.02,100.0,-79.10682643024377,1.0846178384185194e-05
Fe2VAl0.98Sb0.02,150.0,-109.52140017229999,1.06090285108479e-05
Fe2VAl0.98Sb0.02,200.0,-124.34690786780001,1.000339893117873e-05
Fe2VAl0.98Sb0.02,250.0,-125.45619575819998,9.183881720356483e-06
Fe2VAl0.98Sb0.02,300.0,-115.7977723656,8.2713829719357e-06
Fe2VAl0.98Sb0.02,350.0,-98.96862571501028,7.356702260421442e-06
Fe2VAl0.98Sb0.02,400.0,-78.78704055595492,6.5041121038440765e-06
Fe2VAl0.98Sb0.02,450.0,-58.86541558450734,5.754937426334052e-06
Fe2VAl0.98Sb0.02,500.0,-42.18308066503236,5.1311350206966705e-06
Fe2VAl0.98Sb0.02,550.0,-30.659114052077147,4.638873010986872e-06
Fe2VAl0.98Sb0.02,600.0,-24.725159612228204,4.272110315084031e-06
Fe2VAl0.98Sb0.02,650.0,-22.898244045970095,4.016176107266687e-06
Fe2VAl0.98Sb0.02,700.0,-21.353594109543373,3.851349280787348e-06
Fe2VAl0.97Sb0.03,100.0,-74.25183278120645,6.467374690240056e-06
Fe2VAl0.97Sb0.03,150.0,-97.7908693234088,7.0756792743580974e-06
